,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate;;;;;;;;
6,0002bcb3da6cb337,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1,1,1,0,1,0;;;;;;;;
"12,0005c987bdfc9d4b,""Hey... what is it..";;;;;;;;
@ | talk .;;;;;;;;
What is it... an exclusive group of some WP TALIBANS...who are good at destroying, self-appointed purist who GANG UP any one who asks them questions abt their ANTI-SOCIAL and DESTRUCTIVE (non)-contribution at WP?;;;;;;;;
;;;;;;;;
"Ask Sityush to clean up his behavior than issue me nonsensical warnings...."",1,0,0,0,0,0";;;;;;;;
"16,0007e25b2121310b,""Bye! ";;;;;;;;
;;;;;;;;
"Don't look, come or think of comming back! Tosser."",1,0,0,0,0,0";;;;;;;;
"42,001810bf8c45bf5f,""You are gay or antisemmitian? ";;;;;;;;
;;;;;;;;
Archangel WHite Tiger;;;;;;;;
;;;;;;;;
Meow! Greetingshhh!;;;;;;;;
;;;;;;;;
Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...;;;;;;;;
;;;;;;;;
1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!;;;;;;;;
;;;;;;;;
2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!;;;;;;;;
;;;;;;;;
3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!;;;;;;;;
;;;;;;;;
"Beware of the Dark Side!"",1,0,1,0,1,1";;;;;;;;
"43,00190820581d90ce,""FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!"",1,0,1,0,1,0";;;;;;;;
"44,001956c382006abd,""I'm Sorry ";;;;;;;;
;;;;;;;;
"I'm sorry I screwed around with someones talk page.  It was very bad to do.  I know how having the templates on their talk page helps you assert your dominance over them.  I know I should bow down to the almighty administrators.  But then again, I'm going to go play outside....with your mom.   76.122.79.82"",1,0,0,0,0,0";;;;;;;;
51,001dc38a83d420cf,GET FUCKED UP. GET FUCKEEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!,1,0,1,0,0,0;;;;;;;;
55,0020e7119b96eeeb,Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,1,1,1,0,1,0;;;;;;;;
56,0020fd96ed3b8c8b,=Tony Sidaway is obviously a fistfuckee. He loves an arm up his ass.,1,0,1,0,1,0;;;;;;;;
"58,0021fe88bc4da3e6,""My Band Page's deletion. You thought I was gone. ";;;;;;;;
;;;;;;;;
Deleting the comment I posted on your 'talk page' does not delete my feelings for your hasty decision to delete my page. You, sir, are still a cock-sucking douche fuck. Sit back for a second and think about what your life has become. ............ Done? That didn't take long did it? Nope. Because, as I am most certainly aware, your life is a shitstorm of sitting in front of the computer masturbating to fictional creatures. Your attempts to get rid of me are mediocre at best. You are constantly sucking the dick of failure. You don't want a personal attack, huh? Well, too bad, Fuckcock McDickerson. You've got one. From me. You can go ahead and delete my profile from wikipedia. I'll just make another one and come right back to 'Syrthiss's talk page and insult the dick off of you. How could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band. Does that make you happy? Fucking with people because you're an overweight, single, old man in a dead-end job. Did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you? Yes you did. I don't make empty threats, so I won't be saying anything along the lines of 'i'll hurt you' or 'i'll eat the children from within your sister's womb', but I will say that you are a asshole, son-of-a-bitch, mother fucking cock sucker. So, go eat some more food and drown your sorrows you premature ejaculating, bald headed fuck.;;;;;;;;
;;;;;;;;
You should do something nice for yourself, maybe go grab a couple of Horny Goat Weeds from your local convenience store and jack off for a little longer than three minutes tonight.;;;;;;;;
;;;;;;;;
Sincerely,;;;;;;;;
"An Asshole That's Better Than You In Every Way."",1,0,1,0,0,0";;;;;;;;
"59,002264ea4d5f2887,""Why can't you believe how fat Artie is? Did you see him on his recent appearence on the Tonight Show with Jay Leno? He looks absolutely AWFUL! If I had to put money on it, I'd say that Artie Lange is a can't miss candidate for the 2007 Dead pool!   ";;;;;;;;
;;;;;;;;
  ;;;;;;;;
"Kindly keep your malicious fingers off of my above comment, . Everytime you remove it, I will repost it!!!"",1,0,0,0,0,0";;;;;;;;
"65,0028d62e8a5629aa,""All of my edits are good.  Cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem.  Maybe one day you'll realise the damage you did to a noble project.  201.215.187.159"",1,0,1,0,1,0";;;;;;;;
"79,003217c3eb469ba9,""Hi! I am back again!";;;;;;;;
Last warning!;;;;;;;;
"Stop undoing my edits or die!"",1,0,0,1,0,0";;;;;;;;
"86,0036621e4c7e10b5,""Would you both shut up, you don't run wikipedia, especially a stupid kid."",1,0,0,0,1,0";;;;;;;;
105,00472b8e2d38d1ea,A pair of jew-hating weiner nazi schmucks.,1,0,1,0,1,1;;;;;;;;
"151,005f59485fcddeb0,""""""";;;;;;;;
;;;;;;;;
"SORRY PUCK BUT NO ONE EVER SAID DICK WAS NUMBER ONE!! But he is clearly listed as being """"""""second only to Batman"""""""" and a """"""""master detective and martial artist"""""""" and been trained in all the mentioned combat discplines. No need to mention in skills/abilities about the battles he's lost and won because thats not what an encylopia is supposed to do. ";;;;;;;;
;;;;;;;;
Also, what your problem is your going by low end showings and not HIGH end showings where he's proven more than a match for a meta like Slade and pinned Shiva down in one of his earliest appearences.;;;;;;;;
" """""",1,0,0,0,0,0";;;;;;;;
"159,00637960a7ec3436,""""""";;;;;;;;
;;;;;;;;
"UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH"""""",1,0,0,0,0,0";;;;;;;;
"168,00686325bcc16080,""You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that people like you exist in this world."",1,0,0,0,1,0";;;;;;;;
176,006b94add72ed61c,I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,1,0,1,1,1,1;;;;;;;;
"179,006d11791d76b9f3,""REPLY ABOVE:";;;;;;;;
That was me, loser. The UN defines Vietnam to be part of Southeast Asia. And far as I know Vietnam is part of ASEAN, and used to be part of French Indochina with Laos and all those shit countries Anyway your culture has always been more influenced by SEA than Han Chinese (as in proper Yangtze Han Chinese, not the fringe indigenous tribes in Guangzhou/Guangxi). ;;;;;;;;
;;;;;;;;
"Just admit that you vietnamese are all a bunch of wannabe crap people. ALL the east asian people I've spoken to thinks of Vietnam as a very integral part of SEA, and we all think you're backward, dirty and speak in a horrible swearing language. Doesn't matter what crap you spout on Wikipedia, won't change the way people in the real world think."",0,0,0,0,1,0";;;;;;;;
"181,006e87872c8b370c,""you are a stupid fuck ";;;;;;;;
;;;;;;;;
"and your mother's cunt stinks"",1,1,1,0,1,0";;;;;;;;
"201,007f1839ada915e6,""Your blatant POV pushing ";;;;;;;;
;;;;;;;;
Neither of you guys has made any contribution to this Italian history article other than to shove your unhistorical unconstructive modern POV in my face.;;;;;;;;
This is a HISTORY article. HISTORY.;;;;;;;;
Have you heard of that?;;;;;;;;
This is the reason why so many people get pissed off about the pedantry and idiocy and triviality of Wikipedia.;;;;;;;;
"J*sus. Get a f*cking life."",1,0,1,0,0,0";;;;;;;;
206,0082b5a7b4a67da2,Give me a permanat block raseac....!!! remember me....!!! Muslims dont you worry for these images they are trying to hurt us but they cant look these images are fake and have nothing to do with Islam or our prophet even their article is so lame wikipedia is not an authentic source its an encyclopedia for the kids which has not authenticity anyone can edit or write whatever they think...just like raeasc you can see he does not knows what Islam is and he talks about it so forget about wiki its lame they have no authenticity...i recommend they should add pissed christ in jessus article....they should...,1,0,0,0,0,0;;;;;;;;
"211,0086998b34865f93,""Fuck you, block me, you faggot pussy!"",1,0,1,0,1,0";;;;;;;;
"218,008e0818dde894fb,""Kill all niggers. ";;;;;;;;
;;;;;;;;
"I have hard, that others have said this.. should this be included? That racists sometimes say these."",1,0,1,0,1,1";;;;;;;;
"231,009371b0ef213487,""Burn Deck ";;;;;;;;
;;;;;;;;
